size,stop_loss,take_profit,price,order_type,side,offset,candle_index,user_id
1.0,2.0,0.0,15208.82573230716,0.0,1.0,1.0,12314.0,0.0
1.0,2.0,0.0,15188.757901118013,0.0,1.0,1.0,12315.0,0.0
1.0,2.0,0.0,15111.318741924086,0.0,1.0,1.0,12317.0,0.0
1.0,2.0,0.0,15073.827043931635,0.0,1.0,1.0,12318.0,0.0
1.0,2.0,0.0,14986.592279580032,0.0,1.0,1.0,12321.0,0.0
5.0,2.0,0.0,15551.51337499999,0.0,2.0,2.0,12345.0,0.0
1.0,2.0,0.0,14432.59019425097,0.0,2.0,1.0,12455.0,0.0
1.0,2.0,0.0,14680.025026001726,0.0,2.0,1.0,12460.0,0.0
1.0,2.0,0.0,14718.267241601106,0.0,2.0,1.0,12461.0,0.0
1.0,2.0,0.0,14757.025157954617,0.0,2.0,1.0,12462.0,0.0
1.0,2.0,0.0,14830.69204569833,0.0,2.0,1.0,12464.0,0.0
5.0,2.0,0.0,14185.101374999984,0.0,1.0,2.0,12486.0,0.0
1.0,2.0,0.0,13517.42795031891,0.0,2.0,1.0,12703.0,0.0
1.0,2.0,0.0,13319.803124999986,0.0,1.0,2.0,12742.0,0.0
1.0,2.0,0.0,13113.464181787773,0.0,1.0,1.0,12780.0,0.0
1.0,2.0,0.0,13091.481223128227,0.0,1.0,1.0,12784.0,0.0
1.0,2.0,0.0,13036.491552572781,0.0,1.0,1.0,12787.0,0.0
3.0,2.0,0.0,13351.562124999997,0.0,2.0,2.0,12815.0,0.0
1.0,2.0,0.0,14440.82168666933,0.0,1.0,1.0,13050.0,0.0
1.0,2.0,0.0,14355.324700225607,0.0,1.0,1.0,13054.0,0.0
1.0,2.0,0.0,14186.329930772765,0.0,1.0,1.0,13066.0,0.0
3.0,2.0,0.0,14668.333625,0.0,2.0,2.0,13088.0,0.0
1.0,2.0,0.0,16170.559289776504,0.0,1.0,1.0,13259.0,0.0
1.0,2.0,0.0,16118.481465802264,0.0,1.0,1.0,13263.0,0.0
2.0,2.0,0.0,16615.3715,0.0,2.0,2.0,13269.0,0.0
1.0,2.0,0.0,16355.102202461589,0.0,1.0,1.0,13358.0,0.0
1.0,2.0,0.0,16447.605499999998,0.0,2.0,2.0,13394.0,0.0
1.0,2.0,0.0,13973.141951413729,0.0,1.0,1.0,13993.0,0.0
1.0,2.0,0.0,13963.569935353273,0.0,1.0,1.0,13994.0,0.0
2.0,2.0,0.0,13397.863499999989,0.0,2.0,2.0,14067.0,0.0
1.0,2.0,0.0,13850.124314468312,0.0,2.0,1.0,14122.0,0.0
1.0,2.0,0.0,13674.57062499999,0.0,1.0,2.0,14149.0,0.0
1.0,2.0,0.0,11391.548479470051,0.0,2.0,1.0,14350.0,0.0
1.0,2.0,0.0,11404.298618622763,0.0,2.0,1.0,14351.0,0.0
1.0,2.0,0.0,11453.790431228488,0.0,2.0,1.0,14352.0,0.0
3.0,2.0,0.0,10501.155999999992,0.0,1.0,2.0,14391.0,0.0
1.0,2.0,0.0,12214.245206730238,0.0,1.0,1.0,14651.0,0.0
1.0,2.0,0.0,12203.518953123246,0.0,1.0,1.0,14652.0,0.0
2.0,2.0,0.0,12645.203999999998,0.0,2.0,2.0,14656.0,0.0
1.0,2.0,0.0,12144.91625450837,0.0,1.0,1.0,14667.0,0.0
1.0,2.0,0.0,12052.595204461288,0.0,1.0,1.0,14670.0,0.0
1.0,2.0,0.0,11894.981120431174,0.0,1.0,1.0,14675.0,0.0
3.0,2.0,0.0,11625.541374999993,0.0,2.0,2.0,14744.0,0.0
